district;rooms;area_m2;lift;prices
Eixample;3;351;Yes;2300000
Sarrià-Sant Gervasi;5;298;Yes;1750000
Eixample;2;90;Yes;590000
Eixample;2;130;Yes;450000
Horta-Guinardó;3;110;No;430000
Eixample;5;161;Yes;690000
Eixample;2;110;No;395000
Eixample;3;106;Yes;595000
Les Corts;2;62;Yes;450000
Ciutat Vella;5;152;Yes;665000
Horta-Guinardó;3;83;Yes;270000
Eixample;2;80;Yes;690000
Eixample;2;80;Yes;630000
Sarrià-Sant Gervasi;3;132;Yes;790000
Sant Martí;1;41;No;177000
Les Corts;2;80;Yes;375000
Sarrià-Sant Gervasi;5;170;Yes;950000
Les Corts;3;110;Yes;800000
Sants-Montjuïc;3;65;No;169000
Ciutat Vella;3;194;Yes;840000
Gràcia;3;79;No;329000
Sant Martí;3;168;Yes;1090000
Sant Andreu;2;64;Yes;185000
Sant Martí;3;130;Yes;695000
Sant Martí;3;111;Yes;586000
Sant Martí;4;83;Yes;239000
Eixample;3;120;Yes;790000
Eixample;5;181;Yes;995000
Eixample;4;94;Yes;420000
Sant Martí;3;195;Yes;640000
Ciutat Vella;2;108;Yes;649000
Sarrià-Sant Gervasi;4;169;Yes;775000
Sant Martí;4;93;Yes;340000
Eixample;4;140;Yes;495000
Sant Martí;4;102;Yes;345000
Ciutat Vella;3;174;Yes;950000
Sants-Montjuïc;4;239;No;690000
Eixample;3;153;Yes;1495000
Ciutat Vella;3;144;Yes;650000
Eixample;4;124;Yes;530000
Sarrià-Sant Gervasi;3;115;Yes;660000
Eixample;3;131;Yes;560000
Eixample;2;100;Yes;800000
Eixample;3;115;Yes;990000
Sarrià-Sant Gervasi;5;277;Yes;1900000
Gràcia;3;104;Yes;470000
Sant Martí;2;71;Yes;370000
Sants-Montjuïc;4;228;Yes;650000
Sarrià-Sant Gervasi;3;160;Yes;880000
Sarrià-Sant Gervasi;5;380;No;1750000
Sarrià-Sant Gervasi;6;585;No;2350000
Eixample;7;271;Yes;1800000
Eixample;2;82;Yes;380000
Eixample;3;175;Yes;1600000
Ciutat Vella;2;84;Yes;475000
Eixample;1;63;Yes;335000
Eixample;4;189;Yes;1175000
Sarrià-Sant Gervasi;3;150;Yes;780000
Horta-Guinardó;3;50;Yes;135000
Les Corts;3;130;Yes;530000
Eixample;3;223;Yes;1995000
Eixample;3;153;Yes;1495000
Eixample;3;85;Yes;339000
Sarrià-Sant Gervasi;5;160;Yes;850000
Eixample;2;120;Yes;575000
Les Corts;4;206;Yes;1250000
Sarrià-Sant Gervasi;4;232;Yes;1175000
Sarrià-Sant Gervasi;4;203;Yes;1095000
Eixample;1;59;Yes;480000
Eixample;4;167;Yes;695000
Les Corts;5;232;Yes;1660000
Eixample;4;800;Yes;1700000
Ciutat Vella;2;86;No;298000
Sarrià-Sant Gervasi;4;105;Yes;425000
Ciutat Vella;3;145;Yes;680000
Sarrià-Sant Gervasi;5;155;Yes;875000
Eixample;3;148;Yes;995000
Eixample;4;102;Yes;440000
Sarrià-Sant Gervasi;5;250;Yes;1100000
Eixample;2;101;Yes;625000
Les Corts;3;100;Yes;385000
Ciutat Vella;2;88;Yes;710000
Eixample;1;77;Yes;260000
Eixample;3;87;Yes;399000
Sant Martí;1;60;Yes;179000
Sarrià-Sant Gervasi;4;243;No;650000
Eixample;3;118;Yes;445000
Sarrià-Sant Gervasi;5;311;No;960000
Sarrià-Sant Gervasi;3;118;Yes;795000
Eixample;3;72;Yes;450000
Ciutat Vella;3;68;No;233150
Eixample;3;87;Yes;365000
Eixample;2;90;Yes;690000
Sarrià-Sant Gervasi;5;380;No;830000
Sarrià-Sant Gervasi;4;225;Yes;1100000
Sant Martí;3;94;Yes;359000
Sarrià-Sant Gervasi;6;296;No;1350000
Ciutat Vella;1;81;No;430000
Horta-Guinardó;5;161;No;490000
Sarrià-Sant Gervasi;3;140;Yes;1050000
Sarrià-Sant Gervasi;4;134;Yes;595000
Ciutat Vella;1;86;Yes;390000
Les Corts;4;170;Yes;668000
Sarrià-Sant Gervasi;3;197;Yes;800000
Sarrià-Sant Gervasi;4;145;Yes;760000
Les Corts;3;170;Yes;490000
Eixample;4;101;Yes;309000
Horta-Guinardó;4;122;No;449000
Eixample;2;213;Yes;1500000
Sarrià-Sant Gervasi;4;105;Yes;630000
Eixample;3;318;Yes;2500000
Eixample;3;80;Yes;365000
Sant Martí;4;90;Yes;370000
Eixample;4;109;Yes;475000
Eixample;3;110;Yes;645000
Eixample;4;97;Yes;495000
Eixample;3;101;Yes;480000
Gràcia;3;130;Yes;630000
Gràcia;4;364;No;1149000
Sarrià-Sant Gervasi;5;465;No;3370000
Les Corts;3;88;Yes;389000
Gràcia;4;85;Yes;375000
Eixample;3;113;Yes;378000
Eixample;3;108;Yes;375000
Sants-Montjuïc;4;90;Yes;279500
Les Corts;2;134;Yes;670000
Sarrià-Sant Gervasi;4;217;Yes;1150000
Les Corts;3;121;Yes;1454000
Les Corts;3;95;Yes;1082000
Eixample;3;125;Yes;690000
Eixample;2;71;Yes;348000
Sarrià-Sant Gervasi;3;90;No;490000
Eixample;3;90;Yes;760000
Eixample;2;148;Yes;1325000
Eixample;5;206;Yes;1095000
Sant Martí;4;147;Yes;790000
Eixample;3;118;Yes;975000
Eixample;3;121;Yes;465000
Gràcia;3;91;Yes;499000
Eixample;3;93;Yes;405000
Horta-Guinardó;2;64;No;149000
Eixample;3;138;Yes;850000
Sarrià-Sant Gervasi;3;126;Yes;735000
Sarrià-Sant Gervasi;3;130;Yes;795000
Eixample;2;132;Yes;599000
Eixample;3;135;Yes;895000
Sarrià-Sant Gervasi;3;115;Yes;615000
Sarrià-Sant Gervasi;4;144;Yes;630000
Eixample;3;141;Yes;825000
Sarrià-Sant Gervasi;3;128;Yes;749000
Les Corts;4;225;Yes;1350000
Eixample;3;158;Yes;599000
Sarrià-Sant Gervasi;2;102;Yes;595000
Eixample;3;173;Yes;1600000
Eixample;4;136;Yes;745000
Eixample;6;235;Yes;1220000
Ciutat Vella;3;76;No;395000
Eixample;3;122;Yes;620000
Sants-Montjuïc;3;78;Yes;390000
Sant Martí;3;79;No;150000
Ciutat Vella;3;108;No;298000
Sarrià-Sant Gervasi;3;109;Yes;380000
Sant Martí;3;73;Yes;283000
Nou Barris;3;105;No;240000
Eixample;4;154;Yes;590000
Gràcia;2;65;Yes;290000
Horta-Guinardó;3;122;Yes;450000
Nou Barris;2;60;Yes;254900
Eixample;4;87;Yes;354000
Sarrià-Sant Gervasi;3;116;Yes;845000
Sarrià-Sant Gervasi;4;240;Yes;960000
Les Corts;4;96;Yes;385000
Horta-Guinardó;3;88;Yes;340000
Sant Martí;3;114;Yes;465000
Sarrià-Sant Gervasi;5;152;Yes;750000
Sant Martí;2;107;Yes;698000
Sarrià-Sant Gervasi;3;148;Yes;1300000
Eixample;3;140;Yes;635000
Nou Barris;2;42;Yes;192100
Sarrià-Sant Gervasi;4;180;Yes;1095000
Horta-Guinardó;3;87;Yes;625000
Sarrià-Sant Gervasi;4;139;Yes;1100000
Sarrià-Sant Gervasi;4;365;Yes;2150000
Gràcia;2;80;Yes;429000
Sant Martí;2;93;No;455000
Nou Barris;3;125;Yes;460000
Eixample;5;155;Yes;890000
Ciutat Vella;3;134;Yes;790000
Eixample;2;112;Yes;550000
Les Corts;4;95;Yes;560000
Sant Andreu;3;75;No;298000
Eixample;1;52;Yes;370000
Les Corts;2;105;Yes;573000
Les Corts;3;76;Yes;339500
Les Corts;4;101;Yes;437500
Eixample;3;146;Yes;1430000
Eixample;3;169;Yes;1650000
Sants-Montjuïc;2;82;Yes;379000
Eixample;4;84;Yes;320000
Ciutat Vella;2;74;No;315000
Eixample;3;75;Yes;540000
Eixample;4;136;Yes;820000
Sarrià-Sant Gervasi;4;130;Yes;720000
Sarrià-Sant Gervasi;3;126;Yes;790000
Sants-Montjuïc;3;93;Yes;405000
Sarrià-Sant Gervasi;5;311;No;990000
Sant Martí;3;90;Yes;330000
Eixample;3;93;Yes;415000
Sant Martí;4;91;Yes;260000
Sants-Montjuïc;4;86;Yes;320000
Sant Martí;4;81;Yes;270000
Ciutat Vella;2;63;Yes;349000
Sarrià-Sant Gervasi;3;104;Yes;660000
Les Corts;9;605;No;4500000
Les Corts;7;900;No;10000000
Sarrià-Sant Gervasi;2;224;No;2750000
Gràcia;3;134;No;780000
Horta-Guinardó;3;79;No;199520
Les Corts;5;340;No;2060000
Sarrià-Sant Gervasi;5;248;No;1950000
Sarrià-Sant Gervasi;6;474;No;2350000
Nou Barris;3;104;No;176000
Eixample;3;78;Yes;499000
Gràcia;3;97;Yes;339000
Les Corts;4;185;No;860000
Sarrià-Sant Gervasi;4;107;Yes;460000
Gràcia;2;65;Yes;245000
Les Corts;4;101;Yes;437000
Horta-Guinardó;1;56;Yes;169000
Sarrià-Sant Gervasi;2;70;Yes;385000
Sant Martí;3;99;Yes;430000
Sarrià-Sant Gervasi;3;125;Yes;590000
Eixample;1;77;Yes;350000
Sarrià-Sant Gervasi;3;120;Yes;1200000
Ciutat Vella;3;117;Yes;540000
Sarrià-Sant Gervasi;5;242;Yes;980000
Sarrià-Sant Gervasi;4;180;Yes;860000
Sarrià-Sant Gervasi;3;151;Yes;690000
Sarrià-Sant Gervasi;2;151;Yes;690000
Eixample;2;100;Yes;640000
Eixample;3;95;Yes;790000
Ciutat Vella;3;145;No;560000
Gràcia;2;108;Yes;530000
Les Corts;2;82;Yes;862000
Les Corts;2;98;Yes;595000
Eixample;2;125;Yes;890000
Les Corts;2;67;Yes;365000
Eixample;4;118;Yes;650000
Ciutat Vella;4;140;Yes;795000
Eixample;4;85;Yes;420000
Sarrià-Sant Gervasi;5;200;Yes;1400000
Sants-Montjuïc;3;88;Yes;365000
Eixample;2;139;Yes;595000
Sants-Montjuïc;2;59;Yes;255000
Eixample;1;46;Yes;165000
Eixample;2;71;Yes;369000
Eixample;4;136;Yes;745000
Gràcia;3;99;Yes;650000
Eixample;3;99;Yes;650000
Eixample;4;800;Yes;1700000
Eixample;3;133;Yes;750000
Eixample;3;385;No;1450000
Sant Martí;3;75;Yes;230000
Eixample;2;105;Yes;565000
Sant Martí;1;62;Yes;390000
Sant Martí;3;84;No;290000
Les Corts;4;101;Yes;525000
Les Corts;3;92;Yes;375000
Les Corts;3;88;Yes;365000
Sant Martí;2;45;Yes;209000
Eixample;1;59;Yes;199900
Horta-Guinardó;4;250;No;795000
Eixample;3;85;Yes;389000
Sant Andreu;4;87;Yes;307000
Horta-Guinardó;3;76;Yes;269000
Eixample;4;179;Yes;765000
Eixample;4;149;Yes;710000
Les Corts;1;51;Yes;280000
Sarrià-Sant Gervasi;4;152;Yes;695000
Eixample;3;84;Yes;359000
Sarrià-Sant Gervasi;3;92;Yes;598000
Eixample;3;75;Yes;365000
Les Corts;1;49;Yes;315000
Eixample;2;100;Yes;535000
Gràcia;5;260;Yes;1050000
Horta-Guinardó;3;70;Yes;239000
Les Corts;4;400;Yes;1790000
Ciutat Vella;1;111;Yes;1150000
Eixample;2;149;Yes;1900000
Sant Martí;4;90;Yes;345000
Eixample;3;76;Yes;460000
Eixample;3;140;Yes;2500000
Sarrià-Sant Gervasi;4;197;Yes;1570000
Sants-Montjuïc;2;100;No;385000
Sarrià-Sant Gervasi;3;128;Yes;759000
Sant Andreu;3;65;Yes;225000
Ciutat Vella;2;95;Yes;370000
Sants-Montjuïc;3;81;Yes;230000
Eixample;3;89;Yes;475000
Ciutat Vella;1;33;No;132000
Horta-Guinardó;3;118;Yes;395000
Sarrià-Sant Gervasi;4;131;Yes;660000
Les Corts;2;65;Yes;450000
Sarrià-Sant Gervasi;5;332;Yes;1395000
Eixample;2;86;Yes;440000
Eixample;3;100;Yes;640000
Eixample;3;123;Yes;850000
Ciutat Vella;1;40;No;179000
Eixample;3;135;Yes;890000
Eixample;3;158;Yes;1495000
Eixample;4;180;Yes;795000
Horta-Guinardó;1;66;Yes;220000
Sarrià-Sant Gervasi;4;208;Yes;1095000
Eixample;3;227;Yes;1995000
Eixample;1;85;Yes;240000
Les Corts;4;190;No;860000
Gràcia;2;60;No;160000
Sants-Montjuïc;3;60;Yes;220000
Ciutat Vella;2;96;No;375000
Sants-Montjuïc;3;92;Yes;375000
Eixample;4;180;Yes;695000
Les Corts;4;78;Yes;255000
Ciutat Vella;2;64;Yes;200000
Les Corts;4;143;Yes;1010000
Sarrià-Sant Gervasi;3;207;Yes;755000
Ciutat Vella;5;175;Yes;990000
Sants-Montjuïc;4;480;No;1450000
Les Corts;2;72;Yes;495000
Eixample;3;265;Yes;2300000
Sarrià-Sant Gervasi;4;132;Yes;780000
Eixample;2;105;Yes;699000
Les Corts;2;60;Yes;358000
Sants-Montjuïc;3;72;Yes;279000
Sarrià-Sant Gervasi;5;340;No;2650000
Ciutat Vella;1;102;No;386000
Nou Barris;3;72;No;179500
Eixample;4;115;Yes;560000
Sant Martí;3;67;Yes;205000
Sant Martí;3;73;Yes;218000
Sant Martí;4;170;No;453000
Sarrià-Sant Gervasi;4;177;Yes;997000
Eixample;3;200;Yes;2100000
Les Corts;3;85;Yes;320000
Ciutat Vella;2;150;Yes;495000
Les Corts;3;55;Yes;259000
Ciutat Vella;3;60;Yes;160000
Sarrià-Sant Gervasi;4;155;Yes;1100000
Eixample;3;135;Yes;639000
Eixample;4;112;Yes;560000
Horta-Guinardó;3;69;Yes;204000
Sarrià-Sant Gervasi;2;140;Yes;1500000
Eixample;1;108;Yes;550000
Eixample;1;33;Yes;230000
Sants-Montjuïc;3;77;No;245000
Sarrià-Sant Gervasi;4;335;No;1490000
Sarrià-Sant Gervasi;4;304;No;675000
Sarrià-Sant Gervasi;4;185;Yes;1190000
Gràcia;3;111;No;430000
Gràcia;5;222;No;975000
Horta-Guinardó;3;63;Yes;199900
Sarrià-Sant Gervasi;3;118;Yes;795000
Sants-Montjuïc;3;89;Yes;235000
Gràcia;2;84;Yes;535000
Eixample;3;90;Yes;329000
Eixample;3;117;Yes;595000
Eixample;2;58;Yes;319000
Sarrià-Sant Gervasi;4;140;Yes;685000
Horta-Guinardó;3;66;Yes;199900
Sant Andreu;3;62;Yes;220000
Nou Barris;4;91;Yes;353900
Sants-Montjuïc;3;74;Yes;279900
Les Corts;3;94;Yes;479000
Sarrià-Sant Gervasi;2;130;No;349000
Sants-Montjuïc;3;70;Yes;215000
Sants-Montjuïc;3;110;Yes;360000
Eixample;3;66;Yes;270000
Eixample;3;230;Yes;1300000
Les Corts;2;63;Yes;450000
Eixample;3;125;Yes;460000
Eixample;3;99;Yes;360000
Les Corts;6;496;Yes;3300000
Ciutat Vella;3;65;Yes;250000
Sants-Montjuïc;3;70;Yes;219000
Eixample;3;180;Yes;895000
Sarrià-Sant Gervasi;4;120;No;760000
Ciutat Vella;2;94;No;319000
Sarrià-Sant Gervasi;11;773;No;5700000
Eixample;3;94;Yes;448000
Ciutat Vella;3;144;Yes;599000
Eixample;2;121;Yes;485000
Eixample;2;150;Yes;1100000
Eixample;2;157;Yes;1100000
Eixample;3;110;Yes;598000
Sarrià-Sant Gervasi;2;138;No;349000
Ciutat Vella;3;131;Yes;970000
Eixample;4;150;Yes;695000
Sants-Montjuïc;3;94;Yes;239000
Eixample;1;77;Yes;690000
Eixample;3;180;Yes;530000
Sants-Montjuïc;2;73;No;375000
Sant Andreu;4;91;Yes;330000
Eixample;4;109;Yes;500000
Eixample;3;100;Yes;335000
Eixample;3;85;Yes;475000
Sarrià-Sant Gervasi;4;145;Yes;850000
Eixample;6;149;Yes;575000
Sarrià-Sant Gervasi;3;102;Yes;695000
Sarrià-Sant Gervasi;7;488;No;2600000
Sarrià-Sant Gervasi;5;310;No;1590000
Sant Martí;2;134;Yes;1900000
Sant Martí;4;130;Yes;1950000
Les Corts;5;212;Yes;1595000
Sarrià-Sant Gervasi;3;256;No;2300000
Ciutat Vella;4;222;No;1690000
Sarrià-Sant Gervasi;4;284;No;1950000
Sarrià-Sant Gervasi;4;185;Yes;1190000
Les Corts;4;80;Yes;290000
Gràcia;2;192;Yes;622000
Gràcia;1;52;Yes;315000
Sants-Montjuïc;3;86;Yes;299000
Sants-Montjuïc;3;106;Yes;299000
Ciutat Vella;2;100;No;495000
Sants-Montjuïc;3;93;Yes;299000
Sants-Montjuïc;1;57;No;268000
Sants-Montjuïc;3;78;Yes;360000
Eixample;3;110;Yes;445000
Sarrià-Sant Gervasi;4;235;Yes;1336000
Eixample;3;100;Yes;435000
Sarrià-Sant Gervasi;3;99;Yes;635000
Sarrià-Sant Gervasi;5;277;Yes;1900000
Sarrià-Sant Gervasi;5;185;Yes;1475000
Sarrià-Sant Gervasi;5;250;Yes;1100000
Sarrià-Sant Gervasi;5;270;Yes;1045000
Eixample;3;90;Yes;680000
Sarrià-Sant Gervasi;3;80;Yes;415000
Gràcia;4;77;Yes;180000
Sant Martí;4;79;Yes;195000
Horta-Guinardó;4;70;Yes;198000
Sarrià-Sant Gervasi;4;124;Yes;590000
Gràcia;3;140;Yes;595000
Sarrià-Sant Gervasi;6;325;Yes;1500000
Sant Andreu;3;79;Yes;199500
Ciutat Vella;2;65;Yes;195000
Sant Martí;3;65;Yes;225000
Sant Martí;2;65;Yes;247000
Gràcia;3;93;Yes;385000
Ciutat Vella;3;200;Yes;2500000
Ciutat Vella;2;45;No;162000
Gràcia;3;96;Yes;375000
Les Corts;3;210;Yes;1620000
Sarrià-Sant Gervasi;4;181;Yes;1095000
Sarrià-Sant Gervasi;4;182;Yes;1400000
Les Corts;3;97;Yes;398000
Gràcia;3;125;Yes;625000
Sant Martí;3;73;Yes;218000
Sant Martí;3;58;Yes;245000
Sant Andreu;2;65;Yes;155000
Ciutat Vella;3;95;Yes;375000
Sant Andreu;2;73;Yes;270000
Sant Martí;3;90;Yes;359000
Sant Martí;2;71;Yes;292000
Sant Martí;1;51;Yes;269000
Sant Martí;1;51;Yes;295000
Sant Martí;1;64;Yes;400000
Eixample;3;135;Yes;745000
Sant Martí;4;139;Yes;990000
Eixample;5;175;Yes;699000
Sant Martí;3;78;Yes;238000
Sarrià-Sant Gervasi;4;178;No;995000
Sant Andreu;3;75;No;298000
Sant Martí;3;67;Yes;230000
Sant Martí;4;91;Yes;249000
Sarrià-Sant Gervasi;4;143;Yes;700000
Eixample;4;100;Yes;350000
Sarrià-Sant Gervasi;2;60;Yes;350000
Les Corts;2;70;Yes;440000
Gràcia;3;190;Yes;1080000
Sants-Montjuïc;2;62;No;244000
Sarrià-Sant Gervasi;5;350;Yes;1595000
Eixample;4;113;Yes;535000
Ciutat Vella;1;38;No;139000
Sant Martí;3;76;Yes;135000
Sarrià-Sant Gervasi;4;325;Yes;1886000
Sarrià-Sant Gervasi;5;665;Yes;6250000
Sarrià-Sant Gervasi;5;331;Yes;1290000
Ciutat Vella;2;86;Yes;470000
Eixample;3;85;Yes;485000
Les Corts;5;371;Yes;2000000
Ciutat Vella;3;72;Yes;415000
Ciutat Vella;3;85;Yes;485000
Sarrià-Sant Gervasi;8;520;No;3900000
Eixample;4;95;Yes;485000
Eixample;4;140;Yes;795000
Ciutat Vella;3;318;Yes;2500000
Gràcia;3;69;Yes;240000
Ciutat Vella;2;56;No;200000
Sant Andreu;3;65;No;195000
Sants-Montjuïc;4;110;Yes;279000
Sants-Montjuïc;2;70;Yes;239000
Horta-Guinardó;4;275;Yes;450000
Sarrià-Sant Gervasi;4;196;Yes;1150000
Eixample;4;94;Yes;389000
Les Corts;3;64;Yes;260000
Sarrià-Sant Gervasi;3;105;Yes;580000
Gràcia;2;56;No;312000
Les Corts;5;309;Yes;2000000
Les Corts;2;72;Yes;290000
Nou Barris;3;77;No;139900
Horta-Guinardó;1;50;No;230000
Sarrià-Sant Gervasi;3;149;Yes;1400000
Nou Barris;3;65;Yes;185000
Les Corts;3;85;Yes;265000
Eixample;4;190;Yes;895000
Ciutat Vella;2;39;Yes;159900
Sarrià-Sant Gervasi;3;86;Yes;365000
Eixample;4;60;Yes;210000
Ciutat Vella;2;70;Yes;375000
Ciutat Vella;1;52;Yes;200000
Sarrià-Sant Gervasi;3;183;Yes;1790000
Sarrià-Sant Gervasi;5;270;Yes;1395000
Sarrià-Sant Gervasi;4;128;Yes;649000
Sants-Montjuïc;3;95;Yes;365000
Sarrià-Sant Gervasi;3;113;Yes;750000
Nou Barris;3;60;Yes;149500
Eixample;4;107;Yes;435000
Ciutat Vella;2;92;No;380000
Eixample;2;103;Yes;399000
Ciutat Vella;1;50;Yes;290000
Eixample;3;72;Yes;360000
Ciutat Vella;3;73;No;245000
Sant Martí;2;75;Yes;235000
Eixample;3;146;Yes;1430000
Sant Martí;4;170;No;453000
Sant Martí;3;129;Yes;470000
Sant Martí;4;90;Yes;380000
Sant Martí;2;50;Yes;209000
Eixample;2;230;Yes;1295000
Eixample;5;209;Yes;859000
Sants-Montjuïc;3;59;Yes;178000
Sarrià-Sant Gervasi;5;188;Yes;880000
Gràcia;4;90;Yes;349000
Les Corts;5;300;Yes;1950000
Ciutat Vella;5;161;Yes;690000
Sarrià-Sant Gervasi;6;304;Yes;1670000
Nou Barris;4;70;Yes;270000
Sant Martí;4;100;Yes;270000
Les Corts;5;269;Yes;1550000
Ciutat Vella;3;49;No;147000
Sarrià-Sant Gervasi;4;230;Yes;2050000
Les Corts;4;185;No;860000
Eixample;3;153;No;790000
Les Corts;3;85;Yes;349000
Sant Andreu;3;64;No;134900
Sant Andreu;3;95;Yes;298000
Sants-Montjuïc;3;60;Yes;175000
Sant Martí;4;100;Yes;270000
Sants-Montjuïc;4;110;Yes;360000
Sarrià-Sant Gervasi;6;412;Yes;1850000
Eixample;3;179;Yes;1650000
Eixample;2;76;No;189000
Eixample;3;100;No;320000
Eixample;2;85;Yes;345000
Sarrià-Sant Gervasi;4;177;Yes;895000
Nou Barris;2;55;Yes;133900
Sant Martí;5;120;Yes;375000
Sants-Montjuïc;1;41;No;199000
Eixample;4;90;Yes;550000
Sarrià-Sant Gervasi;13;491;No;3500000
Sarrià-Sant Gervasi;3;100;Yes;650000
Eixample;3;131;Yes;619000
Horta-Guinardó;3;65;No;170000
Sants-Montjuïc;3;68;Yes;249000
Ciutat Vella;2;65;Yes;330000
Sarrià-Sant Gervasi;2;87;Yes;600000
Sant Martí;1;56;No;220000
Sant Martí;2;104;Yes;470000
Sant Martí;3;91;Yes;189000
Sarrià-Sant Gervasi;5;160;Yes;770000
Sant Martí;1;55;Yes;235000
Ciutat Vella;5;162;No;495000
Les Corts;5;212;Yes;1595000
Sant Andreu;3;57;Yes;165000
Ciutat Vella;3;114;No;335000
Sarrià-Sant Gervasi;6;516;No;3750000
Sant Martí;3;58;No;180000
Sant Martí;1;64;Yes;400000
Sant Martí;1;65;Yes;400000
Sant Martí;4;133;Yes;990000
Sant Andreu;3;82;Yes;229000
Ciutat Vella;3;112;Yes;790000
Eixample;3;135;Yes;639000
Sarrià-Sant Gervasi;3;190;Yes;890000
Sant Martí;3;76;Yes;180000
Horta-Guinardó;2;65;No;169800
Horta-Guinardó;2;80;Yes;299000
Les Corts;2;48;Yes;199000
Eixample;4;140;Yes;599850
Nou Barris;3;60;Yes;149500
Eixample;4;77;Yes;255000
Ciutat Vella;1;80;Yes;250000
Eixample;3;90;Yes;499000
Sants-Montjuïc;3;64;Yes;220000
Ciutat Vella;1;58;Yes;370000
Les Corts;3;271;Yes;2980000
Sant Martí;3;70;Yes;321500
Sarrià-Sant Gervasi;3;230;Yes;1980000
Ciutat Vella;2;83;Yes;390000
Sants-Montjuïc;2;50;No;250000
Horta-Guinardó;2;158;Yes;365000
Ciutat Vella;2;92;No;380000
Sarrià-Sant Gervasi;3;180;Yes;885000
Sants-Montjuïc;1;50;Yes;243000
Sant Martí;2;60;No;259999
Eixample;2;90;Yes;590000
Sant Martí;2;81;No;225000
Sarrià-Sant Gervasi;4;178;No;995000
Les Corts;3;106;Yes;495000
Sants-Montjuïc;3;92;Yes;269000
Gràcia;2;85;No;410000
Sarrià-Sant Gervasi;4;139;Yes;790000
Horta-Guinardó;3;81;No;199000
Sarrià-Sant Gervasi;4;201;No;1590000
Gràcia;4;93;Yes;340000
Les Corts;3;71;Yes;395000
Sarrià-Sant Gervasi;3;300;No;1295000
Sant Martí;4;94;Yes;515000
Sant Martí;3;68;Yes;287000
Sarrià-Sant Gervasi;5;238;Yes;1265000
Eixample;7;336;Yes;1150000
Sant Martí;3;86;Yes;470000
Sant Martí;2;90;No;390000
Horta-Guinardó;3;87;Yes;322000
Gràcia;2;75;Yes;365000
Horta-Guinardó;3;98;Yes;397000
Eixample;4;155;Yes;695000
Eixample;2;101;Yes;780000
Eixample;4;133;Yes;539000
Sant Martí;3;156;Yes;1050000
Eixample;4;174;Yes;850000
Sant Andreu;3;88;Yes;445000
Sant Martí;3;200;No;1050000
Sant Martí;2;75;Yes;239000
Gràcia;2;64;Yes;239000
