district;rooms;area_m2;lift;prices
Gràcia;3;65;No;255000
Eixample;4;70;Yes;259000
Ciutat Vella;4;102;No;350000
Eixample;3;126;Yes;698000
Sarrià-Sant Gervasi;3;103;Yes;460000
Les Corts;2;63;Yes;450000
Gràcia;4;228;Yes;680000
Les Corts;3;68;Yes;490000
Gràcia;2;60;Yes;365000
Sarrià-Sant Gervasi;2;90;Yes;478000
Eixample;2;87;Yes;470000
Eixample;2;84;Yes;630000
Gràcia;1;51;Yes;315400
Gràcia;1;53;Yes;342950
Eixample;4;117;Yes;550000
Eixample;2;71;Yes;540000
Les Corts;3;82;Yes;359000
Ciutat Vella;4;175;Yes;1145000
Sants-Montjuïc;3;98;Yes;435000
Eixample;5;214;Yes;3000000
Les Corts;6;255;Yes;2275000
Sants-Montjuïc;2;61;No;299500
Les Corts;5;226;Yes;1140000
Sant Martí;4;132;Yes;1980000
Sant Andreu;4;80;Yes;225000
Ciutat Vella;1;77;Yes;460000
Gràcia;1;35;Yes;134000
Ciutat Vella;2;106;Yes;600000
Sants-Montjuïc;3;80;Yes;245000
Ciutat Vella;4;95;Yes;380000
Sarrià-Sant Gervasi;1;54;Yes;209000
Sant Martí;4;101;Yes;230000
Sarrià-Sant Gervasi;2;56;No;285000
Gràcia;2;75;No;305000
Sarrià-Sant Gervasi;2;95;Yes;510000
Sarrià-Sant Gervasi;4;232;Yes;1750000
Sant Andreu;2;50;Yes;255000
Les Corts;2;110;Yes;335000
Ciutat Vella;5;95;No;220000
Les Corts;4;92;Yes;420708
Horta-Guinardó;3;64;Yes;290000
Sarrià-Sant Gervasi;5;331;Yes;1570000
Sant Martí;3;71;Yes;188000
Sant Martí;4;170;No;453000
Nou Barris;3;77;No;139900
Gràcia;2;85;No;410000
Gràcia;3;123;Yes;375000
Sarrià-Sant Gervasi;5;165;Yes;860000
Ciutat Vella;3;85;No;260000
Les Corts;4;83;Yes;350000
Eixample;3;113;Yes;530000
Eixample;2;83;No;250000
Sarrià-Sant Gervasi;3;121;Yes;600000
Sarrià-Sant Gervasi;4;120;Yes;509000
Eixample;2;91;Yes;600000
Eixample;4;160;Yes;760000
Gràcia;2;108;Yes;530000
Sarrià-Sant Gervasi;3;90;Yes;695000
Sarrià-Sant Gervasi;3;118;Yes;921000
Sarrià-Sant Gervasi;2;87;Yes;725000
Sant Martí;2;81;Yes;411000
Sarrià-Sant Gervasi;1;51;Yes;403000
Sant Martí;1;89;Yes;577500
Sant Martí;1;95;Yes;617000
Sant Martí;1;63;Yes;378500
Sant Martí;2;76;Yes;426000
Sant Martí;3;96;Yes;473500
Eixample;3;105;Yes;1269000
Eixample;3;105;Yes;1075000
Eixample;4;210;Yes;1879000
Nou Barris;3;83;Yes;418200
Sarrià-Sant Gervasi;3;124;Yes;795000
Sarrià-Sant Gervasi;1;62;Yes;445000
Sarrià-Sant Gervasi;1;62;Yes;420000
Sant Martí;5;201;Yes;860000
Sant Martí;5;206;Yes;874800
Les Corts;2;102;Yes;550000
Les Corts;2;95;Yes;530500
Les Corts;2;100;Yes;630000
Gràcia;2;88;Yes;646000
Nou Barris;2;56;Yes;295800
Eixample;2;150;Yes;2158000
Eixample;2;85;Yes;858000
Eixample;2;192;Yes;2188000
Sarrià-Sant Gervasi;2;102;Yes;845000
Sarrià-Sant Gervasi;2;106;Yes;880000
Sarrià-Sant Gervasi;2;106;Yes;1035000
Horta-Guinardó;3;116;Yes;435000
Ciutat Vella;2;76;Yes;465000
Ciutat Vella;2;151;Yes;565000
Ciutat Vella;2;84;Yes;475000
Sants-Montjuïc;1;79;Yes;355000
Sants-Montjuïc;2;69;Yes;331000
Sants-Montjuïc;2;69;Yes;337000
Eixample;2;76;Yes;490000
Eixample;2;76;Yes;505000
Eixample;2;77;Yes;495000
Eixample;1;50;Yes;295000
Eixample;1;50;Yes;315000
Eixample;2;68;Yes;375000
Ciutat Vella;4;172;Yes;1115000
Ciutat Vella;2;72;Yes;590000
Ciutat Vella;3;166;Yes;1200000
Gràcia;1;51;Yes;315400
Gràcia;1;53;Yes;342950
Eixample;2;60;Yes;370000
Eixample;2;60;Yes;380000
Eixample;2;60;Yes;365000
Sant Martí;2;66;Yes;400000
Sant Martí;3;96;Yes;560000
Sant Martí;3;96;Yes;545000
Sant Martí;3;124;Yes;575700
Sant Martí;1;71;Yes;341000
Sant Martí;2;122;Yes;548400
Sarrià-Sant Gervasi;1;45;Yes;440000
Sarrià-Sant Gervasi;1;50;Yes;520000
Sarrià-Sant Gervasi;1;45;Yes;407000
Eixample;4;159;Yes;820000
Eixample;2;78;Yes;435000
Eixample;3;149;Yes;745000
Nou Barris;2;66;Yes;331500
Ciutat Vella;1;50;Yes;322000
Ciutat Vella;2;62;Yes;478000
Ciutat Vella;1;59;Yes;352000
Sarrià-Sant Gervasi;3;101;Yes;775000
Sarrià-Sant Gervasi;2;95;Yes;820000
Sarrià-Sant Gervasi;3;91;Yes;749000
Gràcia;3;94;Yes;595000
Gràcia;1;53;Yes;309000
Gràcia;2;72;Yes;470000
Eixample;1;55;Yes;367200
Eixample;1;55;Yes;345600
Eixample;1;55;Yes;356400
Eixample;3;89;Yes;540000
Eixample;3;89;Yes;530000
Eixample;2;72;Yes;580000
Eixample;3;111;Yes;1095000
Eixample;3;105;Yes;1475000
Sant Andreu;4;102;Yes;430000
Sant Martí;1;67;Yes;359000
Sarrià-Sant Gervasi;2;69;Yes;608000
Sarrià-Sant Gervasi;2;70;Yes;599000
Sarrià-Sant Gervasi;2;69;Yes;583000
Horta-Guinardó;3;91;Yes;425000
Horta-Guinardó;3;91;Yes;415000
Sant Martí;2;86;Yes;469000
Horta-Guinardó;3;114;Yes;430000
Horta-Guinardó;3;116;Yes;415000
Sants-Montjuïc;2;68;Yes;242400
Sants-Montjuïc;1;50;Yes;180610
Sants-Montjuïc;3;84;Yes;291700
Sants-Montjuïc;2;72;Yes;335000
Sant Andreu;2;56;Yes;258000
Sant Andreu;2;56;Yes;262000
Gràcia;4;99;Yes;395000
Gràcia;3;86;Yes;355000
Gràcia;1;50;Yes;250000
Nou Barris;2;55;Yes;234000
Nou Barris;2;62;Yes;253000
Nou Barris;1;47;Yes;199000
Sant Martí;3;96;Yes;610000
Horta-Guinardó;3;83;Yes;455000
Horta-Guinardó;3;81;Yes;430000
Sants-Montjuïc;2;87;Yes;420000
Sants-Montjuïc;2;69;Yes;335000
Sants-Montjuïc;2;82;Yes;400000
Gràcia;2;74;Yes;420000
Gràcia;3;68;Yes;410000
Gràcia;2;75;Yes;415000
Sant Andreu;3;85;Yes;355000
Sant Andreu;3;102;Yes;430000
Nou Barris;4;101;Yes;350000
Nou Barris;4;107;Yes;450000
Nou Barris;2;52;Yes;270000
Horta-Guinardó;2;64;Yes;375000
Eixample;4;204;Yes;2975000
Eixample;4;144;Yes;1980000
Horta-Guinardó;2;100;Yes;570000
Horta-Guinardó;4;121;Yes;625000
Horta-Guinardó;4;121;Yes;660000
Horta-Guinardó;3;113;Yes;600000
Nou Barris;2;68;Yes;382500
Nou Barris;3;81;Yes;433500
Horta-Guinardó;2;100;Yes;475000
Horta-Guinardó;2;100;Yes;515000
Horta-Guinardó;3;113;Yes;515000
Horta-Guinardó;4;121;Yes;595000
Sarrià-Sant Gervasi;2;132;Yes;865000
Les Corts;2;100;Yes;695000
Sant Andreu;2;73;Yes;328000
Sant Andreu;2;65;Yes;324000
Sant Andreu;1;63;Yes;369000
Sant Martí;2;84;Yes;425000
Sant Martí;3;104;Yes;376000
Sant Martí;3;99;Yes;480000
Sant Martí;3;190;Yes;597000
Les Corts;2;89;Yes;692000
Les Corts;2;134;Yes;670000
Nou Barris;2;66;Yes;336600
Nou Barris;2;56;Yes;331500
Eixample;1;134;Yes;495000
Eixample;3;138;Yes;795000
Eixample;3;189;Yes;1090000
Sarrià-Sant Gervasi;2;158;Yes;900000
Sarrià-Sant Gervasi;2;160;Yes;910000
Eixample;1;128;Yes;780000
Eixample;2;160;Yes;970000
Eixample;2;195;Yes;2158000
Eixample;2;145;Yes;2188000
Eixample;3;158;Yes;1368000
Sarrià-Sant Gervasi;3;134;Yes;1395000
Sarrià-Sant Gervasi;3;138;Yes;1370000
Sarrià-Sant Gervasi;2;115;Yes;1130000
Sant Andreu;3;105;Yes;462000
Sant Andreu;3;104;Yes;457000
Sant Andreu;3;104;Yes;523000
Sant Andreu;2;56;Yes;242000
Sants-Montjuïc;3;109;Yes;467000
Sant Martí;4;151;Yes;833900
Ciutat Vella;2;128;Yes;595000
Nou Barris;2;70;Yes;377400
Horta-Guinardó;3;113;Yes;474000
Horta-Guinardó;3;121;Yes;445000
Sant Martí;4;100;Yes;533000
Ciutat Vella;2;80;Yes;475000
Horta-Guinardó;3;110;Yes;395000
Ciutat Vella;2;71;Yes;485000
Ciutat Vella;2;71;Yes;475000
Ciutat Vella;2;150;Yes;565000
Ciutat Vella;2;84;Yes;465000
Horta-Guinardó;3;88;Yes;432500
Horta-Guinardó;3;97;Yes;530000
Horta-Guinardó;3;92;Yes;526500
Horta-Guinardó;3;88;Yes;502500
Sant Martí;4;95;Yes;499000
Sant Martí;2;66;Yes;340000
Sant Martí;2;67;Yes;315000
Sant Andreu;1;51;Yes;279000
Ciutat Vella;2;95;Yes;592000
Ciutat Vella;2;95;Yes;591000
Ciutat Vella;2;80;Yes;498000
Ciutat Vella;2;92;Yes;474000
Ciutat Vella;1;53;Yes;339000
Ciutat Vella;3;77;Yes;416000
Ciutat Vella;1;66;Yes;380000
Ciutat Vella;1;51;Yes;322000
Ciutat Vella;2;100;Yes;481000
Sant Martí;2;148;Yes;698000
Sant Martí;2;85;Yes;565000
Sant Martí;2;85;Yes;535000
Sant Martí;2;110;Yes;634000
Sant Martí;2;110;Yes;644000
Sant Martí;2;87;Yes;520000
Sant Martí;2;85;Yes;555000
Sants-Montjuïc;2;69;Yes;343000
Sants-Montjuïc;2;88;Yes;399000
Sants-Montjuïc;3;115;Yes;489000
Sants-Montjuïc;2;81;Yes;375000
Sants-Montjuïc;2;81;Yes;389000
Sants-Montjuïc;4;128;Yes;545000
Sants-Montjuïc;2;81;Yes;382000
Eixample;2;75;Yes;510000
Eixample;2;75;Yes;655000
Eixample;2;75;Yes;650000
Eixample;3;97;Yes;550000
Eixample;3;97;Yes;540000
Eixample;2;68;Yes;380000
Horta-Guinardó;3;81;Yes;310000
Ciutat Vella;4;215;Yes;1690000
Ciutat Vella;2;106;Yes;790000
Les Corts;2;95;Yes;550000
Sants-Montjuïc;2;60;Yes;375000
Sarrià-Sant Gervasi;4;150;Yes;1150000
Eixample;2;60;Yes;400000
Sarrià-Sant Gervasi;1;58;Yes;385000
Sants-Montjuïc;3;83;Yes;437000
Sants-Montjuïc;2;60;Yes;325000
Sants-Montjuïc;3;78;Yes;360000
Sants-Montjuïc;2;60;Yes;337000
Eixample;2;100;Yes;720000
Eixample;1;70;Yes;465000
Eixample;1;64;Yes;425000
Eixample;1;66;Yes;430000
Eixample;1;59;Yes;385000
Eixample;1;94;Yes;600000
Eixample;1;86;Yes;545000
Eixample;3;95;Yes;565000
Eixample;2;81;Yes;595000
Eixample;3;89;Yes;530000
Eixample;3;89;Yes;540000
Eixample;2;72;Yes;580000
Sant Martí;2;65;Yes;415000
Sant Martí;2;62;Yes;350000
Sant Martí;2;72;Yes;475000
Sant Martí;2;72;Yes;415000
Sant Martí;2;62;Yes;375000
Sant Martí;2;65;Yes;395000
Sant Martí;3;80;Yes;425000
Sant Martí;3;103;Yes;470000
Sant Martí;3;104;Yes;496128
Sant Martí;2;81;Yes;365000
Sant Martí;4;112;Yes;594448
Sant Martí;2;76;Yes;360000
Sant Martí;1;70;Yes;268000
Eixample;2;101;Yes;530000
Les Corts;2;100;Yes;670000
Les Corts;2;76;Yes;550000
Les Corts;2;73;Yes;715000
Les Corts;2;71;Yes;530500
Les Corts;2;65;Yes;692000
Les Corts;2;115;Yes;1600000
Les Corts;2;71;Yes;550000
Les Corts;2;102;Yes;683000
Eixample;2;109;Yes;695000
Eixample;2;101;Yes;695000
Eixample;1;71;Yes;505000
Eixample;2;100;Yes;660000
Eixample;1;71;Yes;520000
Eixample;2;101;Yes;715000
Eixample;1;71;Yes;485000
Gràcia;2;97;Yes;510000
Gràcia;1;75;Yes;350000
Sants-Montjuïc;2;88;Yes;394000
Sarrià-Sant Gervasi;2;84;Yes;545000
Sarrià-Sant Gervasi;2;84;Yes;530000
Sarrià-Sant Gervasi;2;82;Yes;510000
Eixample;3;120;Yes;628000
Eixample;3;120;Yes;675000
Eixample;3;120;Yes;660000
Eixample;3;120;Yes;640000
Gràcia;3;120;Yes;495000
Sant Martí;2;56;Yes;326000
Sant Martí;4;101;Yes;545000
Sant Andreu;2;84;Yes;430000
Sant Andreu;2;84;Yes;360000
Sant Andreu;2;84;Yes;340000
Sant Andreu;3;118;Yes;480000
Sant Martí;3;96;Yes;535000
Sant Martí;3;96;Yes;570000
Sant Martí;3;94;Yes;537500
Sant Martí;2;73;Yes;387125
Sant Martí;1;66;Yes;390000
Sant Martí;2;73;Yes;375250
Sant Martí;3;94;Yes;555000
Sant Martí;1;66;Yes;349125
Sant Martí;1;66;Yes;358125
Sant Martí;2;73;Yes;420000
Sant Martí;1;66;Yes;415000
Sant Martí;3;94;Yes;482125
Sant Martí;3;94;Yes;473575
Horta-Guinardó;3;98;Yes;398500
Horta-Guinardó;1;103;Yes;262000
Horta-Guinardó;2;83;Yes;351500
Sant Martí;4;158;Yes;685500
Sant Martí;3;94;Yes;474000
Sant Martí;2;67;Yes;342000
Sarrià-Sant Gervasi;3;105;Yes;1280000
Sarrià-Sant Gervasi;2;62;Yes;583000
Sarrià-Sant Gervasi;2;63;Yes;561000
Sant Martí;3;101;Yes;459000
Sant Martí;2;92;Yes;399000
Sant Martí;4;130;Yes;570000
Ciutat Vella;1;58;Yes;339000
Ciutat Vella;2;60;Yes;364000
Ciutat Vella;1;86;Yes;462000
Sarrià-Sant Gervasi;2;57;Yes;795000
Les Corts;2;185;Yes;1600000
Les Corts;2;99;Yes;715000
Gràcia;2;72;Yes;520000
Gràcia;2;72;Yes;495000
Gràcia;3;94;Yes;630000
Gràcia;1;51;Yes;322000
Gràcia;3;94;Yes;615000
Gràcia;1;61;Yes;350000
Eixample;2;64;Yes;435200
Eixample;1;55;Yes;378000
Eixample;2;64;Yes;448000
Horta-Guinardó;2;53;Yes;255697
Horta-Guinardó;2;53;Yes;255697
Horta-Guinardó;2;53;Yes;241815
Horta-Guinardó;2;53;Yes;247633
Horta-Guinardó;2;53;Yes;246467
Eixample;3;95;Yes;565000
Eixample;2;81;Yes;595000
Sants-Montjuïc;2;85;Yes;470000
Sants-Montjuïc;2;100;Yes;595000
Sants-Montjuïc;2;86;Yes;425000
Sant Martí;2;78;Yes;420000
Sant Martí;2;57;Yes;296000
Sant Martí;1;46;Yes;264000
Sant Martí;2;48;Yes;265000
Sant Martí;2;55;Yes;256000
Sant Martí;2;53;Yes;280000
Sant Martí;2;77;Yes;295000
Sant Martí;3;68;Yes;315000
Sant Martí;4;99;Yes;620000
Ciutat Vella;2;62;Yes;440000
Horta-Guinardó;3;81;Yes;395000
Horta-Guinardó;3;78;Yes;370000
Horta-Guinardó;3;78;Yes;360000
Les Corts;3;122;Yes;620000
Les Corts;3;190;Yes;750000
Les Corts;2;159;Yes;560000
Les Corts;3;114;Yes;620000
Les Corts;3;122;Yes;650000
Les Corts;3;122;Yes;590000
Ciutat Vella;3;131;Yes;830000
Eixample;3;113;Yes;1325000
Sant Andreu;3;85;Yes;395000
Sant Andreu;3;84;Yes;385000
Sant Andreu;4;128;Yes;580000
Sant Andreu;3;84;Yes;390000
Horta-Guinardó;3;113;Yes;285000
Sant Martí;3;99;Yes;643496
Sant Martí;3;118;Yes;680434
Sant Martí;3;109;Yes;527258
Sant Martí;3;112;Yes;695610
Sant Martí;2;62;Yes;413729
Sant Martí;2;68;Yes;409877
Sant Martí;3;85;Yes;545713
Sant Martí;2;62;Yes;560204
Sant Martí;2;62;Yes;429209
Sant Martí;2;62;Yes;387537
Sarrià-Sant Gervasi;5;572;No;2985000
Gràcia;3;97;Yes;506000
Gràcia;3;92;Yes;453000
Gràcia;3;97;Yes;523000
Gràcia;3;175;Yes;826000
Horta-Guinardó;2;76;Yes;282000
Sants-Montjuïc;3;89;Yes;285000
Sants-Montjuïc;2;70;Yes;245000
Sants-Montjuïc;2;61;Yes;224000
Sants-Montjuïc;4;102;Yes;456000
Horta-Guinardó;3;79;Yes;288000
Horta-Guinardó;2;50;Yes;220000
Horta-Guinardó;3;62;Yes;235000
Horta-Guinardó;3;63;Yes;268000
Horta-Guinardó;2;56;Yes;238000
Horta-Guinardó;4;88;Yes;298000
Horta-Guinardó;2;56;Yes;216000
Horta-Guinardó;3;62;Yes;258000
Horta-Guinardó;2;56;Yes;220000
Horta-Guinardó;3;86;Yes;269000
Horta-Guinardó;2;75;Yes;283000
Horta-Guinardó;3;100;Yes;435000
Horta-Guinardó;1;50;Yes;269000
Horta-Guinardó;1;50;Yes;259000
Horta-Guinardó;3;100;Yes;450000
Sarrià-Sant Gervasi;3;200;Yes;2360000
Sarrià-Sant Gervasi;3;200;Yes;2360000
Ciutat Vella;2;82;Yes;540000
Ciutat Vella;2;82;Yes;525000
Ciutat Vella;1;67;Yes;475000
Ciutat Vella;2;82;Yes;500000
Ciutat Vella;1;50;Yes;360000
Ciutat Vella;1;50;Yes;335000
Sant Andreu;2;77;Yes;345000
Sant Andreu;2;77;Yes;425000
Sant Andreu;2;77;Yes;355000
Sant Andreu;2;77;Yes;340000
Sant Andreu;2;77;Yes;340000
Horta-Guinardó;2;100;Yes;485000
Horta-Guinardó;2;94;Yes;465000
Horta-Guinardó;2;105;Yes;367500
Sarrià-Sant Gervasi;2;69;Yes;624000
Sarrià-Sant Gervasi;2;73;Yes;648000
Sarrià-Sant Gervasi;2;70;Yes;624000
Sarrià-Sant Gervasi;2;69;Yes;616000
Sarrià-Sant Gervasi;2;70;Yes;616000
Sarrià-Sant Gervasi;2;73;Yes;639000
Sarrià-Sant Gervasi;2;69;Yes;599000
Sarrià-Sant Gervasi;2;70;Yes;607000
Sarrià-Sant Gervasi;2;73;Yes;683000
Sarrià-Sant Gervasi;2;69;Yes;591000
Sant Martí;1;108;Yes;703000
Sant Martí;1;164;Yes;986500
Sant Martí;1;153;Yes;916000
Sant Martí;1;138;Yes;826500
Sant Martí;1;105;Yes;577000
Sant Martí;1;76;Yes;496000
Sant Martí;1;115;Yes;630000
Sant Martí;1;110;Yes;717000
Sant Martí;1;151;Yes;907500
Sant Martí;1;118;Yes;648000
Sant Martí;1;103;Yes;545000
Sant Martí;1;63;Yes;410000
Sant Martí;1;75;Yes;452500
Sant Martí;4;114;Yes;596000
Sant Martí;2;67;Yes;375000
Sant Martí;3;95;Yes;499000
Sant Martí;4;119;Yes;630000
Sant Andreu;4;91;Yes;410000
Sant Andreu;3;88;Yes;395000
Sant Andreu;3;87;Yes;380000
Sant Andreu;4;114;Yes;490000
Sant Andreu;4;109;Yes;480000
Sant Andreu;3;84;Yes;380000
Sant Andreu;4;147;Yes;520000
Sant Andreu;3;120;Yes;385000
Sant Andreu;3;96;Yes;360000
Sant Andreu;4;114;Yes;375000
Sant Andreu;3;112;Yes;420000
Horta-Guinardó;1;55;Yes;162000
Sant Andreu;3;86;Yes;445000
Sant Andreu;3;86;Yes;410000
Sant Andreu;3;86;Yes;405000
Sant Andreu;3;86;Yes;400000
Sant Andreu;2;69;Yes;385000
Sant Andreu;2;69;Yes;350000
Sant Andreu;2;69;Yes;345000
Sant Andreu;2;69;Yes;340000
Eixample;3;148;Yes;745000
Horta-Guinardó;3;112;Yes;495000
Sant Martí;3;104;Yes;620000
Sant Martí;3;104;Yes;645000
Sant Martí;3;104;Yes;429000
Sant Martí;3;91;Yes;409000
Sant Martí;3;95;Yes;575000
Sant Martí;3;95;Yes;457000
Sant Martí;2;83;Yes;358000
Sant Martí;2;82;Yes;398000
Sant Martí;3;91;Yes;446000
Sant Martí;3;91;Yes;455000
Sant Martí;2;81;Yes;391000
Sarrià-Sant Gervasi;1;78;Yes;495000
Horta-Guinardó;3;115;Yes;450000
Ciutat Vella;2;140;Yes;650000
Ciutat Vella;2;100;Yes;450000
Ciutat Vella;2;100;Yes;450000
Sant Martí;3;113;Yes;750000
Sant Martí;3;113;Yes;750000
Sant Martí;3;106;Yes;690000
Horta-Guinardó;2;53;Yes;252920
Sants-Montjuïc;2;72;Yes;340000
Sants-Montjuïc;3;92;Yes;435000
Sants-Montjuïc;3;107;Yes;493718
Sant Andreu;2;56;Yes;282000
Sant Andreu;2;56;Yes;272000
Sant Andreu;2;56;Yes;286000
Sant Andreu;2;56;Yes;268000
Sarrià-Sant Gervasi;2;145;Yes;1210000
Sarrià-Sant Gervasi;2;198;Yes;1940000
Sant Martí;3;92;Yes;606000
Sant Martí;2;92;Yes;690000
Sant Martí;2;63;Yes;296000
Sant Martí;2;88;Yes;650000
Sant Martí;2;76;Yes;398000
Horta-Guinardó;2;61;Yes;328000
Horta-Guinardó;2;61;Yes;298000
Horta-Guinardó;3;85;Yes;408000
Horta-Guinardó;2;58;Yes;398000
Horta-Guinardó;2;61;Yes;348000
Nou Barris;1;29;Yes;118000
Horta-Guinardó;2;75;Yes;337000
Horta-Guinardó;2;75;Yes;335000
Horta-Guinardó;3;116;Yes;395000
Sants-Montjuïc;4;118;Yes;502000
Horta-Guinardó;2;74;Yes;296500
Horta-Guinardó;4;230;Yes;599000
Horta-Guinardó;1;52;Yes;201500
Horta-Guinardó;1;62;Yes;225500
Horta-Guinardó;1;62;Yes;235500
Horta-Guinardó;1;52;Yes;209500
Sant Martí;2;69;Yes;435000
Sant Martí;2;110;Yes;795000
Sant Martí;1;63;Yes;356000
Sants-Montjuïc;2;76;Yes;340000
Nou Barris;3;77;Yes;268000
Nou Barris;3;87;Yes;312000
Nou Barris;1;47;Yes;156000
Nou Barris;3;73;Yes;358000
Gràcia;3;72;Yes;365000
Gràcia;4;103;Yes;465000
Nou Barris;2;55;Yes;267000
Nou Barris;2;61;Yes;274000
Nou Barris;2;55;Yes;260000
Nou Barris;2;74;Yes;347000
Sant Andreu;3;90;Yes;418000
Sant Andreu;2;143;Yes;455000
Sant Andreu;3;98;Yes;467000
Sant Andreu;3;94;Yes;458000
Sant Martí;4;115;Yes;601500
Sant Martí;2;70;Yes;285000
Sarrià-Sant Gervasi;1;70;Yes;295000
Gràcia;2;90;Yes;622250
Gràcia;1;71;Yes;523450
Sant Martí;3;73;Yes;462000
Horta-Guinardó;4;187;Yes;778000
Les Corts;3;120;Yes;820000
Gràcia;2;75;Yes;425000
Gràcia;2;75;Yes;450000
Gràcia;2;74;Yes;445000
Gràcia;2;75;Yes;440000
Sant Martí;4;113;Yes;705000
Horta-Guinardó;2;62;Yes;305000
Horta-Guinardó;1;45;Yes;240000
Horta-Guinardó;1;45;Yes;250000
Horta-Guinardó;2;63;Yes;315000
Horta-Guinardó;2;63;Yes;305000
Sarrià-Sant Gervasi;3;90;Yes;650000
Sarrià-Sant Gervasi;3;130;Yes;1125000
Sarrià-Sant Gervasi;4;146;Yes;1195000
Gràcia;3;92;Yes;442000
Sant Martí;2;63;Yes;394000
Sant Martí;2;70;Yes;371000
Ciutat Vella;2;79;Yes;638000
Ciutat Vella;2;69;Yes;571000
Ciutat Vella;2;79;Yes;661000
Ciutat Vella;2;59;Yes;510000
Ciutat Vella;3;88;Yes;694000
Ciutat Vella;2;79;Yes;483000
Ciutat Vella;2;71;Yes;431000
Ciutat Vella;2;82;Yes;498000
Ciutat Vella;2;56;Yes;357000
Ciutat Vella;2;90;Yes;533000
Les Corts;2;72;Yes;510000
Sarrià-Sant Gervasi;4;154;Yes;1253000
Sarrià-Sant Gervasi;3;117;Yes;978000
Sarrià-Sant Gervasi;2;86;Yes;545000
Horta-Guinardó;2;68;Yes;320000
Horta-Guinardó;4;130;Yes;584000
Sant Martí;3;102;Yes;595000
Sant Martí;2;52;Yes;305000
Sant Martí;2;52;Yes;300000
Sant Martí;2;52;Yes;305000
Sant Martí;2;52;Yes;310000
Sant Martí;2;52;Yes;315000
Sant Martí;2;52;Yes;295000
Les Corts;2;72;Yes;495000
Les Corts;3;125;Yes;795000
Eixample;2;129;Yes;758000
Les Corts;4;127;Yes;977500
Les Corts;2;81;Yes;634500
Ciutat Vella;1;47;Yes;200000
Ciutat Vella;1;72;Yes;300000
Sant Martí;1;81;Yes;445500
Horta-Guinardó;2;58;Yes;224000
Les Corts;4;143;Yes;995000
Eixample;4;92;Yes;460000
Horta-Guinardó;6;174;No;299000
Eixample;5;183;Yes;725000
Eixample;6;183;Yes;725000
Sant Martí;3;99;Yes;340000
Eixample;4;196;Yes;595000
Sarrià-Sant Gervasi;5;210;Yes;749000
Les Corts;4;113;Yes;475000
Eixample;5;192;Yes;990000
Eixample;4;190;Yes;1175000
Eixample;3;85;Yes;265000
Eixample;3;92;Yes;395000
Ciutat Vella;5;175;Yes;680000
Sarrià-Sant Gervasi;5;143;Yes;638000
Sarrià-Sant Gervasi;4;139;Yes;695000
Eixample;4;110;No;550000
Sants-Montjuïc;4;72;No;229000
Nou Barris;3;71;Yes;230000
