district;rooms;area_m2;lift;prices
Eixample;6;338;Yes;1060000
Sants-Montjuïc;1;42;No;125000
Sarrià-Sant Gervasi;4;174;Yes;680000
Ciutat Vella;3;59;No;178500
Horta-Guinardó;4;95;Yes;340000
Sarrià-Sant Gervasi;3;170;Yes;980000
Eixample;4;100;Yes;325000
Eixample;4;88;No;425000
Sarrià-Sant Gervasi;3;73;No;554000
Gràcia;4;95;Yes;368600
Nou Barris;4;75;Yes;190000
Nou Barris;2;50;Yes;149000
Eixample;2;43;No;179000
Sant Martí;2;51;Yes;249000
Eixample;5;160;Yes;619000
Eixample;2;130;Yes;620000
Eixample;3;130;Yes;650000
Eixample;2;190;Yes;650000
Sants-Montjuïc;4;93;Yes;330000
Sant Martí;3;60;Yes;180000
Sants-Montjuïc;2;90;Yes;288000
Sant Andreu;3;66;Yes;195000
Horta-Guinardó;4;98;Yes;245000
Eixample;1;60;Yes;260000
Gràcia;3;110;Yes;370000
Gràcia;5;230;Yes;1150000
Sarrià-Sant Gervasi;5;231;Yes;1150000
Sarrià-Sant Gervasi;7;300;Yes;1000000
Sarrià-Sant Gervasi;3;100;Yes;450000
Sant Martí;3;49;Yes;155000
Sant Martí;4;88;Yes;300000
Sant Martí;4;120;Yes;370000
Sant Martí;2;69;Yes;220000
Sarrià-Sant Gervasi;4;100;Yes;375000
Sant Martí;3;75;No;279000
Sant Martí;4;134;Yes;675000
Les Corts;3;148;Yes;718500
Gràcia;4;132;Yes;330000
Eixample;2;141;Yes;597500
Sant Martí;3;69;Yes;300000
Les Corts;3;95;Yes;395000
Ciutat Vella;2;73;No;199000
Horta-Guinardó;10;297;No;795000
Sarrià-Sant Gervasi;4;185;Yes;1390000
Horta-Guinardó;4;140;No;520000
Gràcia;4;294;No;1800000
Horta-Guinardó;6;224;No;720000
Eixample;3;83;Yes;280000
Eixample;5;129;Yes;475000
Sarrià-Sant Gervasi;4;174;Yes;900000
Sarrià-Sant Gervasi;4;120;Yes;415000
Eixample;4;92;Yes;395000
Sant Martí;3;91;Yes;189000
Sarrià-Sant Gervasi;1;43;Yes;245000
Ciutat Vella;2;35;No;160000
Eixample;3;75;Yes;180000
Sant Andreu;3;66;Yes;195000
Sants-Montjuïc;4;90;Yes;225000
Ciutat Vella;3;59;Yes;140000
Les Corts;3;101;Yes;450000
Gràcia;1;62;No;210000
Sarrià-Sant Gervasi;7;566;No;2900000
Ciutat Vella;1;51;No;150000
Sant Martí;3;88;Yes;320000
Sants-Montjuïc;3;74;Yes;225000
Eixample;4;125;Yes;598000
Eixample;3;93;Yes;540000
Les Corts;2;80;Yes;295000
Horta-Guinardó;3;60;No;135000
Horta-Guinardó;5;124;Yes;375000
Gràcia;1;52;Yes;295000
Ciutat Vella;2;158;No;560000
Sant Martí;4;79;Yes;195000
Sarrià-Sant Gervasi;4;329;Yes;1350000
Eixample;3;122;Yes;475000
Eixample;10;262;Yes;978000
Eixample;3;81;Yes;299000
Les Corts;3;86;Yes;310000
Eixample;3;130;Yes;520000
Gràcia;2;95;No;370000
Sarrià-Sant Gervasi;3;121;Yes;550000
Sarrià-Sant Gervasi;5;160;Yes;650000
Eixample;5;158;Yes;530000
Gràcia;4;85;Yes;320000
Gràcia;4;85;Yes;319000
Gràcia;4;92;Yes;390000
Horta-Guinardó;3;85;Yes;319000
Gràcia;2;107;Yes;650000
Eixample;3;56;Yes;194000
Sants-Montjuïc;4;127;Yes;540000
Sarrià-Sant Gervasi;5;285;Yes;1260000
Horta-Guinardó;2;42;No;79000
Ciutat Vella;3;77;No;195000
Eixample;4;185;Yes;365000
Les Corts;4;78;Yes;219000
Sarrià-Sant Gervasi;4;125;Yes;495000
Sarrià-Sant Gervasi;5;165;Yes;655000
Eixample;3;108;Yes;409000
Eixample;5;157;Yes;530000
Les Corts;3;80;Yes;395000
Eixample;3;180;Yes;1200000
Les Corts;3;70;Yes;360000
Eixample;3;70;Yes;255000
Gràcia;2;70;No;239000
Eixample;2;56;Yes;209000
Eixample;5;155;Yes;595000
Gràcia;3;78;Yes;255000
Nou Barris;4;137;No;265000
Eixample;2;58;Yes;205000
Sant Martí;3;74;Yes;233000
Sant Andreu;3;79;Yes;219000
Sant Martí;4;96;Yes;325000
Sarrià-Sant Gervasi;2;114;Yes;500000
Ciutat Vella;5;100;Yes;358000
Les Corts;6;289;Yes;1200000
Gràcia;4;88;Yes;350000
Eixample;3;69;Yes;340000
Sarrià-Sant Gervasi;3;93;No;375000
Les Corts;7;716;No;3390000
Sants-Montjuïc;4;97;Yes;340000
Les Corts;5;145;Yes;1220000
Sants-Montjuïc;3;120;Yes;463000
Les Corts;5;227;No;1095000
Horta-Guinardó;3;55;No;130000
Sarrià-Sant Gervasi;3;143;Yes;900000
Sarrià-Sant Gervasi;7;319;Yes;1350000
Gràcia;4;196;Yes;595000
Sarrià-Sant Gervasi;3;121;Yes;562000
Eixample;5;106;Yes;370000
Sarrià-Sant Gervasi;5;246;Yes;990000
Sant Andreu;3;70;Yes;199000
Ciutat Vella;2;39;No;130000
Eixample;2;93;Yes;450000
Sarrià-Sant Gervasi;3;120;Yes;445000
Sant Andreu;4;102;Yes;255000
Sants-Montjuïc;2;87;Yes;299000
Eixample;2;47;Yes;210000
Eixample;2;47;Yes;210000
Eixample;3;110;No;250000
Sants-Montjuïc;2;83;Yes;255000
Sants-Montjuïc;3;72;Yes;260000
Sarrià-Sant Gervasi;3;120;Yes;495000
Gràcia;4;88;Yes;375000
Les Corts;3;76;Yes;430000
Gràcia;2;74;No;325000
Gràcia;3;69;Yes;240000
Sarrià-Sant Gervasi;5;258;Yes;1050000
Eixample;2;81;No;490000
Gràcia;3;72;Yes;265000
Sarrià-Sant Gervasi;10;690;No;3950000
Ciutat Vella;2;55;No;155000
Eixample;3;70;Yes;365000
Eixample;4;90;No;239000
Sants-Montjuïc;3;64;Yes;220000
Ciutat Vella;3;58;No;140000
Eixample;3;129;Yes;599000
Sarrià-Sant Gervasi;4;120;Yes;595000
Ciutat Vella;4;114;No;335000
Les Corts;4;95;Yes;430000
Eixample;4;117;Yes;410000
Eixample;4;134;No;395000
Nou Barris;2;76;No;125000
Les Corts;4;125;Yes;550000
Eixample;7;228;Yes;2200000
Eixample;6;200;Yes;710000
Sarrià-Sant Gervasi;3;150;Yes;550000
Sarrià-Sant Gervasi;5;150;Yes;410000
Sants-Montjuïc;3;64;Yes;190000
Eixample;4;140;Yes;550000
Horta-Guinardó;3;145;No;259000
Sarrià-Sant Gervasi;3;90;Yes;410000
Sant Martí;3;84;No;330000
Sarrià-Sant Gervasi;7;391;Yes;1690000
Eixample;3;129;Yes;550000
Gràcia;2;80;Yes;320000
Sarrià-Sant Gervasi;5;320;Yes;1750000
Eixample;6;158;Yes;680000
Eixample;6;153;Yes;650000
Sant Andreu;3;64;Yes;179900
Eixample;7;184;Yes;780000
Eixample;4;176;Yes;750000
Eixample;8;261;Yes;978000
Gràcia;5;317;No;699000
Sant Martí;5;192;No;549000
Eixample;5;141;Yes;622000
Sants-Montjuïc;3;47;No;199900
Eixample;3;90;Yes;400000
Gràcia;4;118;Yes;550000
Sarrià-Sant Gervasi;3;132;Yes;498000
Ciutat Vella;3;85;No;239000
Eixample;3;82;Yes;350000
Eixample;3;87;Yes;570000
Ciutat Vella;4;212;No;850000
Eixample;3;130;Yes;520000
Ciutat Vella;6;175;Yes;635000
Les Corts;3;58;Yes;450000
Les Corts;4;136;Yes;890000
Sarrià-Sant Gervasi;4;121;Yes;465000
Nou Barris;3;70;Yes;155000
Gràcia;4;136;Yes;475000
Sarrià-Sant Gervasi;5;145;Yes;790000
Sarrià-Sant Gervasi;4;188;Yes;599000
Eixample;3;87;Yes;330000
Sant Andreu;3;65;Yes;185000
Horta-Guinardó;10;297;No;795000
Sarrià-Sant Gervasi;4;123;Yes;690000
Horta-Guinardó;5;142;No;450000
Ciutat Vella;5;139;Yes;657000
Sarrià-Sant Gervasi;5;335;No;2850000
Sarrià-Sant Gervasi;4;137;Yes;550000
Les Corts;3;65;Yes;385000
Sarrià-Sant Gervasi;7;650;No;2300000
Ciutat Vella;3;235;No;712500
Sarrià-Sant Gervasi;6;274;Yes;1670000
Sant Martí;3;65;No;210000
Eixample;6;196;Yes;900000
Sant Martí;2;50;No;175000
Sarrià-Sant Gervasi;2;143;Yes;900000
Gràcia;3;80;Yes;310000
Eixample;4;90;Yes;325000
Ciutat Vella;2;55;No;175000
Eixample;4;97;Yes;367000
Eixample;2;86;Yes;302000
Les Corts;3;129;Yes;718500
Ciutat Vella;3;73;Yes;290000
Eixample;3;104;Yes;345000
Ciutat Vella;3;80;No;210000
Ciutat Vella;4;204;Yes;780000
Sarrià-Sant Gervasi;5;217;No;990000
Eixample;4;157;Yes;545000
Ciutat Vella;4;114;Yes;340000
Eixample;1;85;Yes;460000
Nou Barris;2;76;No;125000
Eixample;3;80;Yes;295000
Eixample;3;116;Yes;550000
Les Corts;3;73;Yes;435000
Ciutat Vella;2;150;Yes;830000
Ciutat Vella;3;114;No;350000
Les Corts;3;73;Yes;460000
Sants-Montjuïc;4;85;Yes;310000
Sarrià-Sant Gervasi;6;257;Yes;800000
Ciutat Vella;6;549;Yes;1950000
Sant Martí;4;99;Yes;378000
Sarrià-Sant Gervasi;3;100;Yes;550000
Sarrià-Sant Gervasi;4;120;Yes;650000
Les Corts;3;74;Yes;430000
Les Corts;2;73;Yes;460000
Eixample;2;81;No;480000
Sarrià-Sant Gervasi;5;123;Yes;740000
Sarrià-Sant Gervasi;7;250;Yes;1000000
Eixample;5;220;Yes;620000
Nou Barris;1;74;No;87000
Sant Andreu;1;74;Yes;156000
Sants-Montjuïc;4;120;Yes;391000
Sants-Montjuïc;4;77;No;285000
Sarrià-Sant Gervasi;4;110;Yes;495000
Sant Andreu;3;69;Yes;186000
Gràcia;4;66;No;229000
Eixample;3;46;No;185000
Nou Barris;3;54;Yes;125000
Eixample;4;130;Yes;699000
Sant Andreu;3;104;Yes;295000
Eixample;3;87;Yes;570000
Ciutat Vella;4;212;Yes;850000
Sarrià-Sant Gervasi;5;154;No;460000
Sant Martí;2;80;Yes;325000
Eixample;5;250;Yes;790000
Eixample;2;35;Yes;190000
Sant Martí;3;90;Yes;250000
Eixample;4;142;Yes;750000
Horta-Guinardó;3;67;Yes;155000
Les Corts;4;146;Yes;520000
Eixample;6;337;Yes;1060000
Horta-Guinardó;3;55;No;149000
Sant Martí;1;154;No;390000
Eixample;5;141;Yes;670000
Sant Andreu;7;200;No;279900
Eixample;4;132;Yes;598000
Les Corts;4;73;Yes;350000
Sants-Montjuïc;1;20;No;90000
Ciutat Vella;2;85;Yes;480000
Ciutat Vella;1;54;No;142500
Ciutat Vella;2;70;Yes;280000
Ciutat Vella;1;61;Yes;250000
Eixample;3;76;Yes;570000
Les Corts;4;178;Yes;1150000
Eixample;4;89;Yes;350000
Eixample;4;124;Yes;390000
Sarrià-Sant Gervasi;5;185;Yes;1390000
Sant Martí;3;67;Yes;205000
Horta-Guinardó;4;123;Yes;270000
Eixample;4;210;Yes;1195000
Eixample;5;136;Yes;470000
Eixample;3;110;Yes;469000
Ciutat Vella;2;40;No;96000
Ciutat Vella;2;50;Yes;200000
Les Corts;8;447;Yes;2100000
Sant Martí;3;69;Yes;299000
Sarrià-Sant Gervasi;4;91;Yes;520000
Sant Andreu;3;74;Yes;279000
Ciutat Vella;4;94;No;325000
Eixample;3;85;Yes;470000
Eixample;5;157;Yes;505000
Eixample;3;79;Yes;330000
Eixample;3;65;Yes;300000
Eixample;3;133;Yes;900000
Ciutat Vella;4;94;No;325000
Sarrià-Sant Gervasi;3;121;Yes;365000
Les Corts;6;300;Yes;1500000
Eixample;6;216;Yes;899000
Sant Andreu;3;64;Yes;199900
Eixample;3;112;Yes;390000
Eixample;7;155;Yes;550000
Gràcia;4;70;Yes;255000
Les Corts;3;74;Yes;435000
Sants-Montjuïc;4;86;Yes;300000
Sarrià-Sant Gervasi;5;168;Yes;750000
Eixample;4;224;Yes;798000
Les Corts;3;106;Yes;520000
Sant Martí;4;110;Yes;235000
Sant Andreu;3;74;Yes;161500
Sarrià-Sant Gervasi;6;285;Yes;1780000
Sarrià-Sant Gervasi;4;130;Yes;580000
Sant Martí;4;74;Yes;241000
Sarrià-Sant Gervasi;4;98;Yes;365000
Eixample;5;117;Yes;499000
Sants-Montjuïc;3;92;Yes;285000
Eixample;2;105;Yes;400000
Eixample;3;70;Yes;340000
Sant Martí;3;67;Yes;199000
Les Corts;3;80;Yes;240000
Sant Martí;3;90;Yes;315000
Les Corts;3;73;Yes;435000
Les Corts;6;181;Yes;928800
Eixample;5;250;Yes;1150000
Eixample;3;79;Yes;450000
Eixample;2;77;Yes;450000
Les Corts;3;73;Yes;430000
Sants-Montjuïc;4;83;Yes;270000
Eixample;3;79;Yes;440000
Eixample;4;196;Yes;595000
Eixample;2;88;Yes;240000
Ciutat Vella;3;82;No;248000
Eixample;4;98;Yes;340000
Sants-Montjuïc;3;68;No;152000
Sant Martí;2;50;No;260000
Nou Barris;3;65;Yes;189000
Sant Martí;3;66;Yes;214900
Eixample;4;134;Yes;490000
Sants-Montjuïc;3;68;Yes;179000
Sants-Montjuïc;3;75;Yes;195000
Sarrià-Sant Gervasi;4;118;Yes;560000
Sant Martí;4;75;Yes;183000
Sant Andreu;4;89;Yes;260000
Eixample;4;350;No;390000
Ciutat Vella;4;240;Yes;1190000
Gràcia;3;84;Yes;399000
Les Corts;5;148;Yes;590000
Sant Martí;4;93;Yes;278000
Eixample;5;188;Yes;580000
Sant Martí;3;70;Yes;230000
Sants-Montjuïc;3;78;No;177000
Sants-Montjuïc;2;51;No;150000
Sants-Montjuïc;3;86;Yes;200000
Les Corts;3;69;Yes;435000
Gràcia;2;59;Yes;198000
Sants-Montjuïc;5;110;Yes;540000
Les Corts;3;69;Yes;430000
Les Corts;3;70;Yes;415000
Sarrià-Sant Gervasi;3;73;Yes;375000
Eixample;4;130;Yes;480000
Eixample;2;80;Yes;455000
Sarrià-Sant Gervasi;4;140;Yes;790000
Sarrià-Sant Gervasi;2;95;Yes;340000
Ciutat Vella;3;130;No;450000
Eixample;4;80;Yes;325000
Sarrià-Sant Gervasi;5;145;Yes;790000
Sarrià-Sant Gervasi;5;145;Yes;790000
Nou Barris;3;55;Yes;189000
Eixample;5;113;Yes;460000
Eixample;4;89;Yes;385000
Ciutat Vella;3;50;No;184000
Sants-Montjuïc;2;72;No;174000
Gràcia;3;52;No;228000
Eixample;3;95;Yes;410000
Eixample;7;200;Yes;680000
Sarrià-Sant Gervasi;3;77;No;365000
Nou Barris;1;51;Yes;118000
Les Corts;2;49;Yes;210000
Nou Barris;2;53;No;49000
Ciutat Vella;2;55;No;215000
Sants-Montjuïc;3;77;Yes;224000
Gràcia;2;74;No;349000
Horta-Guinardó;5;161;No;490000
Sants-Montjuïc;4;95;Yes;280000
Ciutat Vella;1;77;No;250000
Les Corts;3;74;Yes;435000
Sarrià-Sant Gervasi;7;387;Yes;1850000
Les Corts;3;70;Yes;395000
Eixample;5;172;No;695000
Eixample;4;159;Yes;530000
Sarrià-Sant Gervasi;4;152;Yes;575000
Sarrià-Sant Gervasi;5;291;Yes;1190000
Ciutat Vella;3;131;Yes;619000
Eixample;5;140;Yes;620000
Sant Martí;4;79;Yes;195000
Sants-Montjuïc;4;131;Yes;315000
Sant Martí;2;78;No;185000
Gràcia;2;108;Yes;195000
Gràcia;4;93;Yes;370000
Sants-Montjuïc;3;85;Yes;275000
Sarrià-Sant Gervasi;5;247;Yes;1250000
Ciutat Vella;2;71;No;175000
Sants-Montjuïc;5;110;Yes;350000
Sarrià-Sant Gervasi;4;90;Yes;415000
Sarrià-Sant Gervasi;4;90;Yes;415000
Sarrià-Sant Gervasi;2;60;Yes;315000
Sarrià-Sant Gervasi;2;60;Yes;315000
Sarrià-Sant Gervasi;2;60;Yes;315000
Sant Martí;4;100;Yes;420000
Sarrià-Sant Gervasi;4;100;Yes;395000
Sarrià-Sant Gervasi;4;100;Yes;395000
Sants-Montjuïc;4;73;No;95000
Sarrià-Sant Gervasi;5;500;No;1150000
Les Corts;3;87;Yes;360000
Sarrià-Sant Gervasi;6;339;Yes;1350000
Sarrià-Sant Gervasi;10;327;No;2450000
Sarrià-Sant Gervasi;4;225;Yes;1350000
Horta-Guinardó;3;88;Yes;285000
Sarrià-Sant Gervasi;1;83;Yes;460000
Sarrià-Sant Gervasi;6;338;Yes;1380000
Eixample;5;250;Yes;1100000
Sarrià-Sant Gervasi;4;93;Yes;460000
Sarrià-Sant Gervasi;5;372;Yes;1880000
Ciutat Vella;3;76;No;325000
Sant Martí;3;72;Yes;165000
Sant Martí;4;70;Yes;290000
Ciutat Vella;2;65;No;185000
Eixample;2;135;Yes;650000
Eixample;2;70;Yes;190000
Horta-Guinardó;3;89;Yes;280000
Gràcia;5;132;Yes;330000
Sarrià-Sant Gervasi;4;144;Yes;520000
Sarrià-Sant Gervasi;4;160;Yes;980000
Ciutat Vella;2;70;Yes;380000
Eixample;3;76;Yes;335000
Sarrià-Sant Gervasi;4;183;Yes;1070000
Sant Andreu;3;88;Yes;230000
Nou Barris;3;68;Yes;198000
Sant Martí;3;60;Yes;245000
Eixample;3;67;No;219000
Ciutat Vella;2;63;No;198000
Sant Andreu;3;66;No;195000
Sant Martí;4;67;No;195000
Eixample;4;93;Yes;390000
Ciutat Vella;1;36;No;135000
Gràcia;4;68;No;190000
Les Corts;3;63;Yes;415000
Sants-Montjuïc;3;76;Yes;360000
Ciutat Vella;3;66;Yes;210000
Eixample;3;50;Yes;210000
Sant Martí;3;75;Yes;195000
Ciutat Vella;2;89;Yes;480000
Eixample;3;85;Yes;379000
Sarrià-Sant Gervasi;5;168;Yes;640000
Ciutat Vella;4;129;Yes;419000
Eixample;4;79;Yes;255000
Sarrià-Sant Gervasi;6;258;Yes;1100000
Sants-Montjuïc;1;68;No;280000
Ciutat Vella;1;42;No;112000
Sant Andreu;3;59;Yes;189000
Eixample;5;150;Yes;540000
Eixample;4;115;Yes;550000
Gràcia;2;85;No;185000
Eixample;4;75;Yes;325000
Sarrià-Sant Gervasi;2;150;No;900000
Ciutat Vella;4;137;Yes;480000
Les Corts;6;159;Yes;928800
Eixample;5;135;Yes;450000
Ciutat Vella;1;50;No;210000
Eixample;3;89;Yes;275000
Eixample;3;70;Yes;258000
Eixample;3;67;Yes;252000
Sant Martí;2;56;No;160000
Horta-Guinardó;2;100;No;250000
Sarrià-Sant Gervasi;4;114;Yes;460000
Sant Martí;4;69;Yes;279000
Sarrià-Sant Gervasi;5;126;Yes;480000
Gràcia;2;105;Yes;470000
Sarrià-Sant Gervasi;3;92;Yes;290000
Sarrià-Sant Gervasi;4;179;Yes;780000
Horta-Guinardó;6;184;No;399000
Sant Martí;2;55;No;120000
Sants-Montjuïc;3;83;Yes;288000
Eixample;3;128;Yes;600000
Eixample;3;70;Yes;250000
Eixample;3;70;Yes;193000
Ciutat Vella;2;79;No;155000
Ciutat Vella;2;77;No;175000
Ciutat Vella;2;45;No;80000
Ciutat Vella;3;50;No;118000
Les Corts;3;75;Yes;295000
Sants-Montjuïc;3;137;Yes;640000
Ciutat Vella;5;132;Yes;500000
Horta-Guinardó;3;53;Yes;131000
Eixample;4;89;Yes;380000
Ciutat Vella;3;50;No;107000
Sarrià-Sant Gervasi;2;88;Yes;410000
Horta-Guinardó;2;70;Yes;168000
Horta-Guinardó;5;330;No;490000
Les Corts;3;63;Yes;360000
Les Corts;9;605;No;4500000
Sarrià-Sant Gervasi;3;115;Yes;530000
Sarrià-Sant Gervasi;5;339;Yes;1600000
Gràcia;3;86;Yes;300000
Sant Martí;4;86;Yes;280000
Ciutat Vella;4;63;No;149000
Eixample;8;241;Yes;980000
Nou Barris;1;40;No;76000
Sant Martí;3;93;Yes;296640
Sant Martí;3;70;Yes;215000
Sant Martí;3;136;Yes;690000
Sant Martí;4;80;Yes;325000
Eixample;5;160;Yes;690000
Sant Andreu;3;60;Yes;195000
Sarrià-Sant Gervasi;6;374;Yes;1880000
Eixample;6;116;Yes;550000
Eixample;4;90;Yes;432000
Sant Andreu;5;153;Yes;369000
Sant Andreu;3;103;No;230000
Sant Martí;2;56;Yes;251000
Eixample;5;157;Yes;532000
Eixample;6;180;Yes;1570000
Nou Barris;3;86;Yes;189900
Sant Andreu;3;89;Yes;228000
Sant Martí;4;100;Yes;292000
Sarrià-Sant Gervasi;5;131;Yes;450000
Eixample;4;156;Yes;525000
Eixample;6;304;Yes;1050000
Eixample;4;90;Yes;370000
Ciutat Vella;3;93;No;230000
Eixample;3;110;Yes;465000
Nou Barris;2;61;No;103000
Gràcia;3;66;Yes;137000
Eixample;3;100;Yes;469000
Eixample;4;104;Yes;320000
Les Corts;3;90;Yes;395000
Sant Andreu;4;83;Yes;237000
Eixample;4;65;Yes;350000
Ciutat Vella;1;35;No;129000
Ciutat Vella;3;65;No;225000
Sants-Montjuïc;5;150;Yes;380000
Ciutat Vella;2;59;No;215000
Sant Martí;4;102;Yes;255000
Les Corts;3;72;Yes;280000
Les Corts;4;105;Yes;395000
Ciutat Vella;3;95;Yes;350000
Sarrià-Sant Gervasi;5;139;Yes;495000
Sant Martí;3;68;Yes;215000
Ciutat Vella;2;110;No;329000
Sants-Montjuïc;2;76;Yes;170000
Ciutat Vella;9;250;No;679000
Eixample;4;87;Yes;399500
Ciutat Vella;2;70;Yes;220000
Sant Martí;2;63;Yes;168000
Sants-Montjuïc;4;126;Yes;359000
Eixample;5;162;Yes;752000
Eixample;3;225;Yes;800000
Eixample;4;130;Yes;530000
Gràcia;4;72;No;230000
Sarrià-Sant Gervasi;4;100;Yes;395000
Eixample;4;159;Yes;789000
Eixample;1;47;Yes;149000
Ciutat Vella;5;264;Yes;1105300
Sants-Montjuïc;4;97;Yes;330000
Les Corts;2;73;Yes;435000
Sarrià-Sant Gervasi;6;144;Yes;900000
Eixample;4;197;Yes;990000
Gràcia;2;71;Yes;255000
Nou Barris;4;127;Yes;200000
Sarrià-Sant Gervasi;4;85;Yes;415000
Eixample;3;90;Yes;325000
Nou Barris;2;43;Yes;147500
Sants-Montjuïc;3;71;Yes;265000
Les Corts;3;598;Yes;2490000
Ciutat Vella;5;180;Yes;799000
Sant Martí;5;253;No;655000
Eixample;2;83;Yes;455000
Ciutat Vella;4;103;No;190000
Sant Martí;4;80;Yes;295000
Eixample;3;53;No;180000
Sarrià-Sant Gervasi;6;170;Yes;820000
Sant Martí;3;74;Yes;214900
Sant Andreu;4;74;Yes;205000
Sants-Montjuïc;3;60;Yes;180000
Sarrià-Sant Gervasi;4;183;Yes;900001
Ciutat Vella;2;60;Yes;220000
Horta-Guinardó;3;70;Yes;198000
Sants-Montjuïc;4;60;No;137000
Gràcia;3;90;No;270000
Sarrià-Sant Gervasi;5;169;Yes;642000
Sant Andreu;4;83;Yes;215000
Eixample;6;305;Yes;1050000
Les Corts;3;79;Yes;279000
Les Corts;3;93;Yes;395000
Gràcia;3;90;Yes;270000
Eixample;2;100;Yes;190000
Gràcia;3;95;Yes;380000
Les Corts;4;97;Yes;399000
Eixample;3;140;Yes;439000
Eixample;3;82;Yes;340000
Horta-Guinardó;3;115;Yes;270000
Eixample;4;109;Yes;360000
Sants-Montjuïc;4;95;Yes;225000
Sarrià-Sant Gervasi;3;200;Yes;1200000
Gràcia;3;80;Yes;269000
Sants-Montjuïc;2;37;Yes;165000
Eixample;4;95;Yes;298000
Eixample;4;110;Yes;530000
Nou Barris;4;87;Yes;189000
Sants-Montjuïc;2;62;No;159000
Sarrià-Sant Gervasi;4;108;Yes;370000
Sarrià-Sant Gervasi;5;270;Yes;1250000
Les Corts;4;99;Yes;320000
Nou Barris;3;160;No;150000
Horta-Guinardó;2;74;No;149000
Gràcia;4;165;Yes;559000
Sant Andreu;3;68;Yes;230000
Horta-Guinardó;3;64;No;155000
Eixample;3;94;Yes;470000
Eixample;5;185;Yes;699000
Sants-Montjuïc;1;66;No;169000
Eixample;4;110;Yes;435000
Sarrià-Sant Gervasi;5;185;Yes;1390000
Eixample;2;73;Yes;470000
Nou Barris;3;60;No;119500
Sants-Montjuïc;2;53;No;137000
Ciutat Vella;2;60;No;169000
Sant Martí;2;52;No;95000
Sarrià-Sant Gervasi;3;80;Yes;420000
Gràcia;2;65;Yes;280000
Sants-Montjuïc;3;87;No;289000
Eixample;3;79;Yes;440000
Les Corts;3;73;Yes;425000
Eixample;3;79;Yes;450000
Sarrià-Sant Gervasi;4;160;Yes;750000
Sant Martí;2;51;Yes;210000
Eixample;4;120;Yes;500000
Eixample;3;96;Yes;419000
Sarrià-Sant Gervasi;7;743;Yes;4500000
Eixample;3;90;No;385000
Sarrià-Sant Gervasi;2;95;Yes;595000
Gràcia;1;64;Yes;295000
Ciutat Vella;3;99;No;420000
Les Corts;4;127;Yes;545000
Sant Martí;3;64;No;170000
Ciutat Vella;4;70;No;178800
